objectid,placeid,city,state,year,dockid,docknm
104,IN0082,Carmel,IN,2016,64,Carmel Bike Share
105,IN0083,Columbus,IN,2016,86,columBike
106,IN0086,Huntingburg,IN,2016,67,Zagster Huntingburg
107,IN0087,Indianapolis,IN,2016,48,Indiana Pacers Bikeshare
108,KS0090,Topeka,KS,2016,34,Topeka Metro Bikes
109,MA0098,Boston,MA,2016,1,Hubway (03/2018 re-launched as Blue Bikes)
110,MD00117,Baltimore,MD,2016,82,Baltimore Bikeshare
111,MD00119,College Park,MD,2016,97,College Park
112,MI00125,Ann Arbor,MI,2016,4,arborbike
113,MI00126,Battle Creek,MI,2016,49,Battle Creek B-cycle
114,MN00131,Hastings,MN,2016,66,Zagster Hastings
115,MN00132,Minneapolis,MN,2016,25,Nice Ride Minnesota (became partially dockless in 2018)
116,MO00137,Kansas City,MO,2016,18,Kansas City B-cycle
117,NC00139,Charlotte,NC,2016,13,Charlotte B-cycle (became JoyRides Sep-2020)
118,ND00144,Fargo,ND,2016,51,Great Rides
119,NE00146,Omaha,NE,2016,16,Heartland B-cycle
120,NJ00149,Hoboken,NJ,2016,2,Hudson Bike Share (now part of CitiBike)
121,NM00153,Albuquerque,NM,2016,38,Bici (became PACE dockless in 2018)
122,NV00154,Las Vegas,NV,2016,78,RTC Bikeshare
123,NY00157,Buffalo,NY,2016,76,Reddy Bikes
124,NY00159,Long Beach,NY,2016,55,"Sobi Long Beach, NY"
125,NY00160,New York,NY,2016,3,Citi Bike
126,OH00164,Cincinnati,OH,2016,57,Cincy RedBike Bike
127,OH00165,Cleveland,OH,2016,"71, 79","Zagster Cleveland, UH Bikes"
128,OH00166,Columbus,OH,2016,58,COGO
129,OH00167,Dayton,OH,2016,47,Link Dayton B-cycle
130,OK00173,Oklahoma City,OK,2016,40,Spokies
131,OK00175,Tulsa,OK,2016,62,Townies
132,OR00175,Ashland,OR,2016,68,Zagster Jackson County
133,OR00176,Corvallis,OR,2016,94,Corvallis
134,OR00178,Medford,OR,2016,68,Zagster Jackson County
135,OR00179,Portland,OR,2016,74,BikeTown Portland
136,PA00181,Philadelphia,PA,2016,43,Inde'go
137,PA00182,Pittsburgh,PA,2016,29,Healthy Ride (became POGOH in 2022)
138,SC00185,Greenville,SC,2016,44,Greenville B-cycle
139,SC00187,Spartanburg,SC,2016,23,Spartanburg B-cycle
140,SD00188,Rapid City,SD,2016,30,Rapid City B-cycle
141,TN00189,Chattanooga,TN,2016,54,Bike Chattanooga
142,TN00192,Nashville,TN,2016,21,Nashville B-cycle
143,TX00194,Austin,TX,2016,53,Austin B-cycle
144,TX00196,Dallas,TX,2016,9,Fairpark B-cycle
145,TX00198,El Paso,TX,2016,8,El Paso B-cycle
146,TX00199,Fort Worth,TX,2016,10,Fort Worth B-cycle
147,TX00201,Houston,TX,2016,17,Houston B-cycle
148,TX00203,McAllen,TX,2016,28,McAllen B-cycle (RGV B-cycle)
149,TX00205,San Antonio,TX,2016,22,San Antonio B-cycle
150,UT00210,Salt Lake City,UT,2016,15,GreenBikes
151,WA00225,Seattle,WA,2016,26,Pronto
152,WI00228,Madison,WI,2016,20,Madison B-cycle
153,WI00229,Milwaukee,WI,2016,50,Bublr Bikes
154,AL001,Birmingham,AL,2017,63,Zyp BikeShare
155,AL002,Huntsville,AL,2017,88,"Huntsville (became PACE, hybrid dockless, in 2018)"
156,AZ006,Phoenix,AZ,2017,37,Grid
157,AZ009,Tucson,AZ,2017,110,tugo
158,CA0012,Beverly Hills,CA,2017,81,Beverly Hills Bikeshare
159,CA0013,Bishop,CA,2017,99,Eastside
160,CA0018,Long Beach,CA,2017,72,"Long Beach, CA Bikeshare"
161,CA0019,Los Angeles,CA,2017,73,Metro Bike Share Los Angeles
162,CA0023,Oakland,CA,2017,42,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)
163,CA0025,San Diego,CA,2017,59,DiscoverBike (was DecoBike in 2016 and 2017)
164,CA0026,San Francisco,CA,2017,42,Bay Area BikeShare (became Ford GoBike 06/28/2017 then became Bay Wheels 06/2019)
165,CA0028,San Mateo,CA,2017,83,Bay Bikes (became DOCKLESS Lime Bikes in 2018)
166,CA0029,San Ramon,CA,2017,75,BriteBikes
167,CA0033,Santa Monica,CA,2017,39,Breeze
168,CA0037,West Hollywood,CA,2017,80,WeHo Pedals
169,CO0038,Aspen,CO,2017,27,WE-cycle
170,CO0040,Boulder,CO,2017,11,Boulder B-cycle
171,CO0041,Broomfield,CO,2017,93,Westminster
172,CO0042,Denver,CO,2017,7,Denver B-cycle
173,CO0043,Fort Collins,CO,2017,65,Fort Collins Bike Share (became PACE dockless in 2018)
174,CO0045,Longmont,CO,2017,90,Longmont
175,DC0046,Washington,DC,2017,56,Capital Bikeshare
176,FL0047,Aventura,FL,2017,85,Aventura
177,FL0050,Fort Lauderdale,FL,2017,12,Broward B-cycle
178,FL0051,Gainesville,FL,2017,96,Gainesville
179,FL0053,Key West,FL,2017,61,Instabike
180,FL0054,Lakeland,FL,2017,69,Swan City Cycle
181,FL0055,Miami,FL,2017,5,Citi Bike Miami
182,FL0061,Orlando,FL,2017,32,Juice
183,FL0064,Tampa,FL,2017,33,Coast Bike Share
184,FL0065,West Palm Beach,FL,2017,31,Sky Bike WPB
185,GA0066,Atlanta,GA,2017,77,Relay Bike Share
186,GA0067,Carrollton,GA,2017,91,Carrollton
187,GA0068,Evans,GA,2017,45,Columbia County B-cycle
188,GA0069,Savannah,GA,2017,46,CAT B-cycle
189,GA0070,Smyrna,GA,2017,70,Smyrna Bike Share
190,HI0072,Honolulu,HI,2017,111,Hawaii Bikibike
191,IA0073,Des Moines,IA,2017,14,Des Moines B-cycle
192,ID0075,Boise,ID,2017,36,Boise Green Bike
193,ID0076,Hailey,ID,2017,35,MR Bike Share
194,IL0077,Aurora,IL,2017,95,Aurora
195,IL0078,Bloomington,IL,2017,100,Normal (Bikeshare 309)
196,IL0079,Chicago,IL,2017,60,Divvy
197,IL0080,Peoria,IL,2017,107,Peoria
198,IN00233,Fort Wayne,IN,2017,98,Fort Wayne
199,IN0082,Carmel,IN,2017,64,Carmel Bike Share
200,IN0083,Columbus,IN,2017,86,columBike
201,IN0087,Indianapolis,IN,2017,48,Indiana Pacers Bikeshare
202,KS0090,Topeka,KS,2017,34,Topeka Metro Bikes
203,KS0091,Wichita,KS,2017,89,Wichita
204,KY0093,Louisville,KY,2017,102,Lou Velo
205,LA0094,New Orleans,LA,2017,109,New Orleans Bikeshare
206,MA00103,Marlborough,MA,2017,132,"City of Marlborough, MA"
207,MA00111,Salem,MA,2017,108,Salem
208,MA0098,Boston,MA,2017,1,Hubway (03/2018 re-launched as Blue Bikes)
209,MD00117,Baltimore,MD,2017,82,Baltimore Bikeshare
210,MD00118,Boyds,MD,2017,134,Montgomery Parks
211,MD00119,College Park,MD,2017,97,College Park
212,MD00124,Columbia,MD,2017,141,Howard County Bikeshare
213,MI00125,Ann Arbor,MI,2017,4,arborbike
214,MI00126,Battle Creek,MI,2017,49,Battle Creek B-cycle
215,MI00127,Dearborn,MI,2017,103,Dearborn
216,MI00128,Detroit,MI,2017,101,Mo Go
217,MN00131,Hastings,MN,2017,66,Zagster Hastings
218,MN00132,Minneapolis,MN,2017,25,Nice Ride Minnesota (became partially dockless in 2018)
219,MO00137,Kansas City,MO,2017,18,Kansas City B-cycle
220,NC00139,Charlotte,NC,2017,13,Charlotte B-cycle (became JoyRides Sep-2020)
221,NC00143,Winston-Salem,NC,2017,105,Winston-Salem
222,ND00144,Fargo,ND,2017,51,Great Rides
223,NE00146,Omaha,NE,2017,16,Heartland B-cycle
224,NH00147,Manchester,NH,2017,104,Manchester
225,NH00148,Portsmouth,NH,2017,87,Portsmouth
226,NJ00149,Hoboken,NJ,2017,2,Hudson Bike Share (now part of CitiBike)
227,NM00153,Albuquerque,NM,2017,38,Bici (became PACE dockless in 2018)
228,NV00154,Las Vegas,NV,2017,78,RTC Bikeshare
